codigo_postal,nombre_entidad_singular,municipio_id,nombre
43763,COMA (LA),43164,Vespella de Gaià
43764,MAS DE MOREGONS,43043,"Catllar, El"
43765,VISTABELLA,43144,"Secuita, La"
43770,MORA LA NOVA,43094,Móra la Nova
43771,MONTCLAR,43127,Riudecanyes
43772,COSTES (LES),43033,Botarell
43773,DUESAIGÜES,43053,Duesaigües
43774,TORRE DE FONTAUBELLA (LA),43151,"Torre de Fontaubella, La"
43775,VERINXELL (EL),43076,Marçà
43776,CAPÇANES,43040,Capçanes
43777,GUIAMETS (ELS),43070,"Guiamets, Els"
43780,GANDESA,43064,Gandesa
43781,FATARELLA (LA),43056,"Fatarella, La"
43782,VILALBA DELS ARCS,43175,Vilalba dels Arcs
43783,POBLA DE MASSALUCA (LA),43110,"Pobla de Massaluca, La"
43784,CORBERA D'EBRE,43048,Corbera d'Ebre
43785,BOT,43032,Bot
43786,BATEA,43022,Batea
43787,CASERES,43041,Caseres
43790,RIBA-ROJA D'EBRE,43125,Riba-roja d'Ebre
43791,ASCO,43019,Ascó
43792,VINEBRE,43177,Vinebre
43800,VALLS,43161,Valls
43810,PLA DE SANTA MARIA (EL),43108,"Pla de Santa Maria, El"
43811,FIGUEROLA DEL CAMP,43059,Figuerola del Camp
43812,RODONYA,43132,Rodonyà
43813,MASMOLETS,43161,Valls
43814,MAS D'EN BOSC,43170,Vila-rodona
43815,MIAMI PLATJA,43092,Mont-roig del Camp
43816,VALLDOSSERA,43120,Querol
43817,PONT D'ARMENTERA (EL),43113,"Pont d'Armentera, El"
43820,PLATJA DE CALAFELL,43037,Calafell
43830,TORREDEMBARRA,43153,Torredembarra
43839,SINIES (LES),43050,Creixell
43840,SALOU,43905,Salou
43850,LLOSA (LA),43038,Cambrils
43860,AMETLLA DE MAR (L'),43013,"Ametlla de Mar, L'"
43870,AMPOSTA,43014,Amposta
43877,SANT JAUME D'ENVEJA,43902,Sant Jaume d'Enveja
43878,MASDENVERGE,43078,Masdenverge
43879,BALADA,43902,Sant Jaume d'Enveja
43880,MASOS (ELS),43163,"Vendrell, El"
43881,CUNIT,43051,Cunit
43882,SEGUR DE CALAFELL,43037,Calafell
43883,RODA DE BERÀ,43131,Roda de Berà
43884,FONT DE LA GAVATXA (LA),43030,Bonastre
43885,SALOMO,43135,Salomó
43886,VILABELLA,43165,Vilabella
43887,NULLES,43098,Nulles
43890,HOSPITALET DE L'INFANT,43162,Vandellòs i l'Hospitalet de l'Infant
43891,HOSPITALET DE L'INFANT,43162,Vandellòs i l'Hospitalet de l'Infant
43892,MIAMI PLATJA,43092,Mont-roig del Camp
43893,ALTAFULLA,43012,Altafulla
43894,LIGALLO DEL ROIG,43903,Camarles
43895,AMPOLLA (L'),43906,"Ampolla, L'"
43896,ALDEA (L'),43904,"Aldea, L'"
43897,TORTOSA,43155,Tortosa
44001,TERUEL,44216,Teruel
44002,TERUEL,44216,Teruel
44003,TERUEL,44216,Teruel
44100,VALDEVECAR,44009,Albarracín
44110,GEA DE ALBARRACIN,44117,Gea de Albarracín
44111,TORRES DE ALBARRACIN,44229,Torres de Albarracín
44112,TRAMACASTILLA,44235,Tramacastilla
44113,NOGUERA,44163,Noguera de Albarracín
44114,VILLAR DEL COBO,44257,Villar del Cobo
44115,GUADALAVIAR,44120,Guadalaviar
44120,VILLAREJO (EL),44215,Terriente
44121,CAMPILLO (EL),44216,Teruel
44122,VALDECUENCA,44243,Valdecuenca
44123,VALLECILLO (EL),44249,"Vallecillo, El"
44124,MOSCARDON,44159,Moscardón
44125,ROYUELA,44198,Royuela
44126,FRIAS DE ALBARRACIN,44109,Frías de Albarracín
44130,VILLASTAR,44263,Villastar
44131,VILLEL,44264,Villel
44132,MAS DE LA CABRERA,44234,Tramacastiel
44133,TRAMACASTIEL,44234,Tramacastiel
44134,VEGUILLAS DE LA SIERRA,44250,Veguillas de la Sierra
44140,CAÑADA DE BENATANDUZ,44060,Cañada de Benatanduz
44141,TRONCHON,44236,Tronchón
44142,IGLESUELA DEL CID (LA),44126,"Iglesuela del Cid, La"
44143,FORTANETE,44106,Fortanete
44144,VILLARROYA DE LOS PINARES,44262,Villarroya de los Pinares
44145,ALLEPUZ,44021,Allepuz
44146,MONTEAGUDO DEL CASTILLO,44156,Monteagudo del Castillo
44147,CEDRILLAS,44074,Cedrillas
44150,CAÑADILLA (LA),44017,Aliaga
44155,POBO (EL),44185,"Pobo, El"
44156,JORCAS,44130,Jorcas
